Player,Dribbling,Fouling,Interrupting,Passing,Receiving,Shooting,Goals Added
Josh Pérez,-0.10,-0.03,-0.04,0.04,0.20,0.26,0.34
Paul Marie,0.42,-0.06,-0.04,-0.11,0.08,0.05,0.33
Andrew Gutman,0.18,-0.24,0.03,0.28,-0.02,0.10,0.32
Cristhian Paredes,-0.21,0.03,0.18,-0.51,0.68,0.14,0.32
Diego Fagundez,-0.04,-0.19,0.31,0.19,0.22,-0.17,0.32
Christian Ramirez,-0.71,0.13,0.03,-0.02,0.65,0.23,0.31
Djordje Mihailovic,-0.56,0.08,0.33,0.15,0.07,0.25,0.31
Fanendo Adi,-0.46,-0.02,-0.14,-0.18,0.84,0.27,0.31
Pedro Santos,0.59,0.91,-0.08,0.39,-1.07,-0.45,0.30
Peter-Lee Vassell,0.17,0.00,-0.16,0.20,0.06,0.01,0.28
Luis Díaz,0.40,-0.04,-0.09,0.26,-0.32,0.05,0.26
Cristian Cásseres Jr,-0.27,0.32,-0.26,0.33,0.01,0.13,0.26
Romario Williams,-0.05,0.00,-0.01,-0.04,0.27,0.09,0.26
Harrison Afful,-0.17,-0.04,0.25,-0.01,0.21,0.02,0.26
Wilfried Moimbé,0.00,0.02,0.44,-0.05,-0.10,-0.05,0.25
Gastón Sauro,0.18,-0.15,0.00,-0.01,0.25,-0.02,0.25
Brandon Servania,-0.07,0.05,0.02,-0.53,0.63,0.13,0.23
Joao Plata,0.32,0.21,-0.25,-0.05,-0.15,0.14,0.22
Brek Shea,-0.11,0.29,-0.14,-0.09,0.24,0.02,0.22
Derrick Etienne,0.37,0.02,0.09,-0.15,-0.14,0.03,0.22
Harold Cummings,0.16,-0.39,0.92,-0.12,-0.32,-0.03,0.21
Mauricio Pereyra,-0.19,-0.06,0.01,0.60,-0.13,-0.02,0.21
Axel Sjöberg,-0.40,0.27,-0.07,-0.07,0.39,0.09,0.21
Luis Silva,-0.11,-0.02,-0.12,-0.11,0.29,0.27,0.21
Rodolfo Zelaya,-0.06,-0.02,0.31,-0.03,-0.03,0.03,0.21
André Horta,0.22,0.02,-0.01,0.00,0.01,-0.04,0.20
Eriq Zavaleta,-0.09,-0.02,0.42,0.11,-0.18,-0.06,0.19
Kenny Saief,0.28,-0.04,0.05,0.42,-0.40,-0.12,0.18
Andreu Fontàs,0.45,-0.26,-0.43,0.58,-0.17,0.01,0.18
Romario Ibarra,0.09,0.20,-0.03,0.11,-0.01,-0.18,0.18
Cristian Martínez,0.07,-0.01,0.05,0.05,-0.02,0.04,0.17
Robinho,0.02,-0.06,0.74,-0.51,-0.13,0.10,0.17
Florian Valot,0.00,0.00,0.04,-0.02,0.14,0.00,0.16
Justen Glad,0.22,0.23,-0.43,0.21,-0.14,0.07,0.15
Nicolás Gaitán,-0.45,-0.04,-0.39,0.90,0.20,-0.07,0.15
Niko Hämäläinen,0.16,-0.03,0.13,-0.09,-0.01,0.00,0.14
Mathieu Choinière,-0.20,0.29,0.42,-0.23,-0.29,0.16,0.14
Sebastián Méndez,-0.12,-0.08,1.01,-0.15,-0.44,-0.09,0.13
Kamal Miller,-0.04,0.04,0.47,-0.03,-0.28,-0.04,0.13
Sam Vines,0.08,0.10,0.71,-0.35,-0.35,-0.06,0.13
Ethan Zubak,-0.13,-0.01,-0.02,0.02,0.26,0.01,0.12
Yordy Reyna,0.95,0.50,0.54,0.26,-1.72,-0.41,0.12
Liam Fraser,0.06,-0.06,-0.06,0.35,-0.05,-0.13,0.12
Judson,0.00,-0.03,1.10,-0.35,-0.44,-0.16,0.12
Ilie Sánchez,0.50,-0.17,-0.43,0.02,0.21,0.00,0.11
Jordan Hamilton,-0.56,-0.03,-0.15,-0.62,1.21,0.26,0.11
Lee Nguyen,0.06,0.27,-0.24,0.08,-0.12,0.06,0.11
Abdul Rwatubyaye,0.13,0.05,-0.03,0.00,-0.03,-0.02,0.10
Lucas Venuto,0.95,-0.08,-0.23,-0.20,-0.32,-0.02,0.10
Nemanja Nikolic,-0.76,-0.29,-0.25,0.07,1.35,-0.02,0.09
Hwang In-Beom,0.26,-0.03,0.96,-0.43,-0.57,-0.10,0.09
Bryan Reynolds,-0.07,-0.04,0.28,0.01,-0.08,-0.01,0.09
Jimmy Medranda,-0.07,0.03,0.06,0.16,-0.13,0.04,0.09
Gustav Svensson,0.12,0.01,-0.37,0.52,-0.02,-0.18,0.09
João Moutinho,0.03,0.05,-0.08,0.12,0.00,-0.04,0.08
Chris Odoi-Atsem,0.03,0.03,0.10,-0.08,0.00,0.00,0.07
Julian Araujo,-0.12,-0.07,0.42,-0.28,0.05,0.06,0.07
Ricardo Clark,-0.23,0.01,0.37,-0.10,0.02,0.00,0.06
Javier Pérez,0.02,0.00,0.00,0.08,0.00,-0.03,0.06
Perry Kitchen,-0.03,0.03,0.16,0.08,-0.15,-0.03,0.06
Orji Okwonkwo,0.57,-0.12,-0.29,-0.90,1.01,-0.20,0.05
Cristian Higuita,-0.03,-0.02,0.42,-0.16,-0.11,-0.05,0.05
Tomás Conechny,-0.13,0.02,-0.30,0.07,0.25,0.14,0.05
Ema Twumasi,-0.12,0.00,0.00,0.00,0.15,0.02,0.04
Ryan Telfer,-0.01,0.00,-0.01,0.04,0.02,0.00,0.04
Andy Polo,0.27,-0.02,0.17,0.09,-0.47,0.00,0.04
Erickson Gallardo,0.02,-0.02,0.14,-0.08,-0.03,0.00,0.04
Michael Mancienne,0.09,0.04,0.09,-0.10,-0.13,0.04,0.04
Tajon Buchanan,0.23,-0.01,-0.05,0.07,-0.10,-0.11,0.03
Alexander Callens,0.44,-0.32,0.09,0.12,-0.30,0.00,0.03
Shane O'Neill,-0.05,0.08,0.36,-0.24,-0.12,0.00,0.03
Mark McKenzie,-0.03,0.07,0.19,-0.06,-0.12,-0.03,0.03
Luke Mulholland,0.00,0.00,-0.01,0.02,0.00,0.00,0.02
Luis Felipe,-0.01,0.00,0.04,0.01,-0.02,0.00,0.02
Bradley Wright-Phillips,-0.71,-0.10,-0.08,-0.48,1.19,0.21,0.02
Darwin Cerén,-0.03,0.00,0.10,0.21,-0.17,-0.09,0.02
Diedie Traore,-0.03,0.05,0.00,0.03,-0.03,0.00,0.02
Amando Moreno,-0.01,-0.02,-0.08,-0.05,0.08,0.11,0.01
Matthew Real,0.00,0.00,-0.04,0.01,0.03,0.01,0.01
Diego Campos,0.04,0.02,0.16,-0.16,-0.08,0.02,0.01
