Player,Team,Season,Minutes,Shots,SoT,G,xG,xPlace,G-xG,KeyP,A,xA,A-xA,xG+xA,xPA through goals,xPA through shots
Gedion Zelalem,SKC,2019,475,0.61,0.40,0.00,0.04,-0.03,-0.04,0.81,0.00,0.03,-0.03,0.07,0.00,0.02
Greg Garza,CIN,2019,998,0.00,0.00,0.00,0.00,0.00,0.00,0.96,0.00,0.07,-0.07,0.07,0.00,0.00
Júnior Moreno,DCU,2019,2818,0.41,0.10,0.00,0.02,-0.01,-0.02,0.68,0.07,0.05,0.02,0.07,0.00,0.01
Kendall Waston,CIN,2019,2399,0.72,0.16,0.04,0.06,-0.03,-0.02,0.08,0.00,0.01,-0.01,0.07,0.02,0.05
Kim Kee-hee,SEA,2019,2887,0.47,0.03,0.00,0.05,-0.05,-0.05,0.23,0.00,0.02,-0.02,0.07,0.00,0.03
Everton Luiz,RSL,2019,2309,0.33,0.08,0.00,0.02,0.00,-0.02,0.54,0.08,0.05,0.03,0.07,0.00,0.01
Maikel van der Werff,CIN,2019,1097,0.35,0.09,0.00,0.05,-0.02,-0.05,0.35,0.00,0.02,-0.02,0.07,0.00,0.05
Jacori Hayes,FCD,2019,982,0.68,0.20,0.00,0.04,-0.02,-0.04,0.49,0.20,0.03,0.16,0.07,0.00,0.02
Perry Kitchen,LAG,2019,625,0.00,0.00,0.00,0.00,0.00,0.00,0.61,0.00,0.07,-0.07,0.07,0.00,0.00
John Nelson,FCD,2019,525,0.37,0.00,0.00,0.01,-0.01,-0.01,1.28,0.00,0.06,-0.06,0.07,0.00,0.00
Eddie Segura,LAFC,2019,3249,0.47,0.06,0.03,0.05,-0.03,-0.02,0.12,0.00,0.02,-0.02,0.07,0.01,0.03
Niko Hansen,"HOU, CLB",2019,371,0.26,0.00,0.00,0.01,-0.01,-0.01,1.04,0.00,0.05,-0.05,0.07,0.00,0.00
Axel Sjöberg,COL,2019,485,0.99,0.20,0.00,0.07,-0.02,-0.07,0.00,0.00,0.00,0.00,0.07,0.00,0.04
Carlos Gruezo,FCD,2019,866,0.78,0.11,0.11,0.04,0.04,0.07,0.44,0.00,0.02,-0.02,0.07,0.06,0.02
Matt Hedges,FCD,2019,3206,0.39,0.09,0.03,0.05,-0.01,-0.02,0.15,0.00,0.02,-0.02,0.07,0.01,0.03
Oriol Rosell,ORL,2019,1635,0.88,0.12,0.00,0.04,-0.03,-0.04,0.35,0.00,0.02,-0.02,0.07,0.00,0.03
Dillon Powers,ORL,2019,684,0.56,0.14,0.00,0.02,-0.02,-0.02,0.84,0.14,0.04,0.10,0.07,0.00,0.02
Connor Lade,NYRB,2019,932,0.52,0.10,0.10,0.03,0.02,0.07,0.41,0.10,0.04,0.07,0.07,0.07,0.02
Doneil Henry,VAN,2019,2323,0.50,0.25,0.17,0.07,0.03,0.10,0.00,0.00,0.00,0.00,0.07,0.09,0.04
Laurent Ciman,TOR,2019,1387,0.76,0.21,0.00,0.05,-0.02,-0.05,0.21,0.00,0.01,-0.01,0.06,0.00,0.04
Eric Miller,"NYC, MIN",2019,841,0.34,0.00,0.00,0.06,-0.06,-0.06,0.11,0.00,0.00,0.00,0.06,0.00,0.07
Bill Tuiloma,POR,2019,2229,1.21,0.26,0.04,0.06,-0.02,-0.02,0.04,0.00,0.00,0.00,0.06,0.03,0.05
Michael Boxall,MIN,2019,2819,0.34,0.10,0.07,0.05,0.01,0.02,0.14,0.00,0.02,-0.02,0.06,0.06,0.04
Walker Zimmerman,LAFC,2019,2369,0.85,0.20,0.04,0.05,-0.01,-0.01,0.16,0.00,0.02,-0.02,0.06,0.07,0.04
Ken Krolicki,MTL,2019,592,0.32,0.00,0.00,0.03,-0.03,-0.03,0.16,0.00,0.03,-0.03,0.06,0.00,0.02
A.J. DeLaGarza,HOU,2019,2188,0.35,0.09,0.00,0.04,-0.03,-0.04,0.31,0.04,0.02,0.02,0.06,0.00,0.02
Eric Remedi,ATL,2019,2213,0.48,0.13,0.00,0.03,-0.01,-0.03,0.52,0.04,0.03,0.01,0.06,0.00,0.01
Omar González,TOR,2019,1379,0.84,0.28,0.07,0.05,0.04,0.02,0.07,0.00,0.01,-0.01,0.06,0.09,0.04
Tim Parker,NYRB,2019,2647,0.58,0.07,0.00,0.05,-0.04,-0.05,0.15,0.00,0.01,-0.01,0.06,0.00,0.04
Lalas Abubakar,"CLB, COL",2019,2286,0.55,0.17,0.00,0.06,0.00,-0.06,0.17,0.00,0.01,-0.01,0.06,0.00,0.04
Guram Kashia,SJE,2019,2113,0.41,0.14,0.00,0.04,-0.02,-0.04,0.27,0.00,0.02,-0.02,0.06,0.00,0.02
Eric Alexander,CIN,2019,353,0.00,0.00,0.00,0.00,0.00,0.00,0.82,0.27,0.06,0.21,0.06,0.00,0.00
Kofi Opare,COL,2019,296,0.65,0.00,0.00,0.06,-0.06,-0.06,0.00,0.00,0.00,0.00,0.06,0.00,0.06
Nick Hagglund,CIN,2019,1985,0.48,0.10,0.00,0.05,-0.01,-0.05,0.19,0.00,0.01,-0.01,0.06,0.00,0.03
Jorge Corrales,"CHI, MTL",2019,1244,0.15,0.00,0.00,0.00,0.00,0.00,0.62,0.08,0.06,0.02,0.06,0.00,0.00
Erik Godoy,VAN,2019,2853,0.44,0.07,0.03,0.03,-0.02,0.00,0.20,0.03,0.03,0.01,0.06,0.02,0.02
Edwin Gyasi,FCD,2019,105,1.83,0.91,0.00,0.05,-0.02,-0.05,0.91,0.00,0.01,-0.01,0.06,0.00,0.05
Diego Campos,CHI,2019,485,0.59,0.20,0.00,0.01,-0.01,-0.01,0.59,0.00,0.05,-0.05,0.06,0.00,0.01
Antonio Mlinar Delamea,NER,2019,1490,0.52,0.13,0.13,0.05,0.02,0.08,0.13,0.06,0.01,0.06,0.06,0.09,0.04
Cristian Higuita,ORL,2019,696,0.83,0.14,0.00,0.04,-0.01,-0.04,0.28,0.00,0.02,-0.02,0.06,0.00,0.02
Wil Trapp,CLB,2019,2574,0.15,0.00,0.00,0.00,0.00,0.00,0.78,0.11,0.05,0.06,0.05,0.00,0.00
Judson,SJE,2019,2064,0.70,0.19,0.05,0.02,0.01,0.02,0.42,0.00,0.03,-0.03,0.05,0.03,0.01
Chris McCann,DCU,2019,350,0.55,0.00,0.00,0.05,-0.05,-0.05,0.00,0.00,0.00,0.00,0.05,0.00,0.07
Artur,CLB,2019,2697,0.53,0.11,0.00,0.03,-0.02,-0.03,0.50,0.00,0.02,-0.02,0.05,0.00,0.02
Ebenezer Ofori,NYC,2019,1407,0.55,0.14,0.14,0.02,0.00,0.11,0.48,0.00,0.03,-0.03,0.05,0.04,0.01
Johan Kappelhof,CHI,2019,2796,0.21,0.03,0.00,0.02,-0.01,-0.02,0.31,0.03,0.03,0.01,0.05,0.00,0.01
Jeff Larentowicz,ATL,2019,1651,0.64,0.06,0.00,0.04,-0.03,-0.04,0.17,0.00,0.01,-0.01,0.05,0.00,0.02
Marcus Epps,NYRB,2019,125,1.54,0.77,0.00,0.05,-0.04,-0.05,0.00,0.00,0.00,0.00,0.05,0.00,0.06
Alex De John,ORL,2019,435,0.22,0.00,0.00,0.02,-0.02,-0.02,0.22,0.00,0.03,-0.03,0.05,0.00,0.01
Florentin Pogba,ATL,2019,867,0.33,0.11,0.00,0.02,-0.02,-0.02,0.33,0.00,0.02,-0.02,0.05,0.00,0.01
Jeremiah Gutjahr,CHI,2019,555,0.17,0.00,0.00,0.00,0.00,0.00,0.69,0.17,0.04,0.13,0.05,0.00,2.82655135135135e-7
Matías Vera,HOU,2019,2896,0.73,0.00,0.00,0.03,-0.03,-0.03,0.50,0.03,0.02,0.02,0.05,0.00,0.03
Florian Jungwirth,SJE,2019,2943,0.62,0.20,0.00,0.04,0.01,-0.04,0.13,0.00,0.00,0.00,0.05,0.00,0.03
Waylon Francis,CLB,2019,1510,0.19,0.00,0.00,0.00,0.00,0.00,0.32,0.00,0.04,-0.04,0.05,0.00,0.00
Nedum Onuoha,RSL,2019,2554,0.34,0.15,0.04,0.03,-0.02,0.01,0.11,0.00,0.02,-0.02,0.05,0.01,0.02
Danny Leyva,SEA,2019,472,0.81,0.00,0.00,0.03,-0.03,-0.03,0.41,0.00,0.01,-0.01,0.05,0.00,0.02
Russell Canouse,DCU,2019,2365,0.41,0.00,0.00,0.03,-0.03,-0.03,0.37,0.00,0.02,-0.02,0.05,0.00,0.03
Giancarlo González,LAG,2019,1608,0.42,0.12,0.06,0.03,0.01,0.03,0.06,0.00,0.01,-0.01,0.05,0.08,0.03
Josh Williams,CLB,2019,1393,0.34,0.14,0.14,0.04,0.04,0.10,0.14,0.00,0.00,0.00,0.05,0.09,0.03
Zarek Valentin,POR,2019,1892,0.15,0.00,0.00,0.00,0.00,0.00,0.61,0.00,0.04,-0.04,0.05,0.00,0.00
Miles Robinson,ATL,2019,3259,0.56,0.18,0.00,0.04,0.00,-0.04,0.12,0.00,0.01,-0.01,0.04,0.00,0.02
Chad Marshall,SEA,2019,779,0.86,0.12,0.00,0.04,-0.04,-0.04,0.00,0.00,0.00,0.00,0.04,0.00,0.04
Alexander Callens,NYC,2019,2398,0.68,0.04,0.00,0.04,-0.04,-0.04,0.08,0.00,0.01,-0.01,0.04,0.00,0.02
Justen Glad,RSL,2019,2251,0.34,0.09,0.00,0.04,-0.02,-0.04,0.09,0.00,0.00,0.00,0.04,0.00,0.02
Jake Nerwinski,VAN,2019,2208,0.26,0.04,0.04,0.02,-0.01,0.03,0.26,0.00,0.03,-0.03,0.04,0.03,0.01
Sebastien Ibeagha,NYC,2019,1265,0.23,0.08,0.00,0.01,-0.01,-0.01,0.08,0.00,0.03,-0.03,0.04,0.00,0.01
Scott Caldwell,NER,2019,1197,0.24,0.16,0.00,0.01,-0.01,-0.01,0.64,0.00,0.03,-0.03,0.04,0.00,0.01
Jon Erice,VAN,2019,1907,0.10,0.00,0.00,0.01,-0.01,-0.01,0.45,0.05,0.04,0.01,0.04,0.00,0.01
Juan David Cabezas,HOU,2019,626,0.46,0.15,0.15,0.04,0.01,0.11,0.15,0.00,0.00,0.00,0.04,0.10,0.02
