Player,Dribbling,Fouling,Interrupting,Passing,Receiving,Shooting,Goals Added
Ilie Sánchez,0.02,-0.01,-0.01,0.00,0.01,0.00,0.00
Andy Polo,0.02,0.00,0.01,0.01,-0.04,0.00,0.00
Shane O'Neill,-0.01,0.01,0.04,-0.02,-0.01,0.00,0.00
Darwin Cerén,0.00,0.00,0.02,0.03,-0.03,-0.01,0.00
Dejan Jakovic,-0.01,0.01,0.05,-0.02,-0.02,0.00,0.00
Hwang In-Beom,0.01,0.00,0.03,-0.01,-0.02,0.00,0.00
Michael Mancienne,0.01,0.00,0.01,-0.01,-0.01,0.00,0.00
Orji Okwonkwo,0.03,-0.01,-0.02,-0.05,0.05,-0.01,0.00
Bradley Wright-Phillips,-0.05,-0.01,-0.01,-0.04,0.09,0.02,0.00
Alexander Callens,0.02,-0.01,0.00,0.00,-0.01,0.00,0.00
Diego Campos,0.01,0.00,0.03,-0.03,-0.02,0.00,0.00
Benny Feilhaber,0.01,0.00,0.02,0.00,-0.05,0.02,0.00
Scott Sutter,-0.01,0.01,0.02,0.01,-0.01,-0.01,0.00
Emmanuel Boateng,-0.02,-0.01,-0.02,-0.01,0.04,0.01,0.00
Héctor Jiménez,0.00,0.00,-0.01,0.03,-0.01,0.00,0.00
Alejandro Pozuelo,0.01,-0.01,-0.01,0.06,-0.05,0.00,0.00
Magnus Eriksson,0.04,0.00,-0.02,0.01,-0.03,0.00,0.00
Franco Escobar,0.00,-0.01,0.03,-0.04,0.01,0.00,0.00
Danilo Silva,0.02,0.00,-0.02,-0.01,0.03,-0.02,0.00
Luis Caicedo,0.00,0.00,0.03,-0.01,-0.02,-0.01,0.00
Robin Lod,-0.03,-0.01,0.00,-0.04,0.03,0.05,0.00
Carlos Ascues,-0.04,0.00,0.04,-0.04,0.03,0.02,0.00
Nick Lima,0.03,0.01,0.00,-0.04,0.00,0.00,0.00
Abu Danladi,-0.03,-0.02,0.01,-0.01,0.02,0.02,0.00
Jorge Villafaña,0.01,0.00,0.00,-0.01,-0.01,0.00,0.00
Chris Duvall,0.00,0.01,0.05,-0.04,-0.02,0.00,0.00
Kendall Waston,-0.01,-0.02,0.01,-0.01,0.02,0.00,0.00
Hassani Dotson,0.03,0.00,0.01,-0.02,-0.03,0.00,0.00
Benji Michel,-0.03,0.00,-0.02,-0.05,0.07,0.02,0.00
Jonathan Lewis,0.06,-0.01,-0.01,0.00,-0.05,0.01,0.00
Tim Parker,-0.01,0.01,-0.03,0.02,0.01,0.00,0.00
Reto Ziegler,0.01,0.01,-0.03,0.03,-0.01,0.00,0.00
Michael Boxall,0.00,0.01,-0.01,-0.01,0.00,0.00,-0.01
Osvaldo Alonso,0.02,-0.01,-0.01,0.02,-0.01,-0.01,-0.01
Keegan Rosenberry,-0.01,0.01,-0.01,0.02,-0.01,0.00,-0.01
Henry Wingo,0.10,-0.01,0.03,-0.03,-0.08,-0.03,-0.01
Dairon Asprilla,0.06,-0.01,-0.01,0.00,-0.01,-0.04,-0.01
Emerson Hyndman,0.03,0.02,0.01,-0.02,-0.03,-0.01,-0.01
Ismael Tajouri-Shradi,0.05,0.00,-0.02,0.02,-0.04,-0.02,-0.01
Kim Kee-hee,0.01,0.00,-0.02,0.00,0.01,0.00,-0.01
Justin Morrow,0.01,0.01,0.00,-0.03,0.01,0.00,-0.01
Justin Rennicks,-0.09,-0.01,0.04,-0.05,0.13,-0.04,-0.01
Jalil Anibaba,-0.01,0.01,0.02,-0.01,-0.01,0.00,-0.01
Dániel Sallói,-0.06,0.01,-0.02,-0.01,0.05,0.03,-0.01
Júnior Moreno,-0.02,-0.01,0.00,0.03,-0.01,0.00,-0.01
Brian White,-0.05,0.01,-0.01,-0.05,0.08,0.01,-0.01
