Player,Team,Season,Minutes,Shots,SoT,G,xG,xPlace,G-xG,KeyP,Assists,xA,A-xA,xG+xA,xPA through goals,xPA through shots
Michael Barrios,FCD,2019,3000,56,18,5,5.72,-1.49,-0.72,83,13,10.32,2.68,16.04,1.67,2.66
Nemanja Nikolic,CHI,2019,2134,48,22,12,12.93,-1.48,-0.93,21,0,3.05,-3.05,15.98,6.52,8.42
Pity Martínez,ATL,2019,2301,83,24,5,8.58,-2.23,-3.58,62,7,7.36,-0.36,15.94,2.97,5.67
Nani,ORL,2019,2495,64,26,12,9.11,1.11,2.89,69,5,6.81,-1.81,15.92,9.79,7.36
Saphir Taïder,MTL,2019,2976,73,24,9,10.37,0.13,-1.37,59,6,5.43,0.57,15.81,4.77,5.04
Kacper Przybylko,PHI,2019,2462,81,37,15,12.84,-0.07,2.16,23,4,2.88,1.13,15.71,11.30,8.27
Cristian Espinoza,SJE,2019,2736,95,36,2,5.02,-1.29,-3.02,78,9,10.64,-1.64,15.66,0.78,2.59
C.J. Sapong,CHI,2019,2777,62,27,13,12.97,-2.41,0.03,26,1,2.52,-1.52,15.49,7.92,8.49
Aleksandar Katai,CHI,2019,2281,105,31,6,7.18,-1.67,-1.18,33,6,7.57,-1.57,14.76,2.31,4.75
Magnus Eriksson,SJE,2019,3061,88,23,6,5.87,-1.38,0.13,101,7,8.65,-1.65,14.52,2.86,3.14
Przemyslaw Frankowski,CHI,2019,2534,55,24,5,7.13,-0.05,-2.13,45,7,7.25,-0.25,14.37,2.34,2.85
Raúl Ruidíaz,SEA,2019,1954,72,28,11,13.21,-1.54,-2.21,12,1,1.15,-0.15,14.37,5.62,8.45
Johnny Russell,SKC,2019,2315,56,22,9,7.09,-0.19,1.91,61,6,7.18,-1.18,14.27,5.40,4.17
Felipe Gutiérrez,SKC,2019,2952,65,29,12,9.99,-0.81,2.01,51,1,4.13,-3.13,14.11,6.10,6.17
Albert Rusnák,RSL,2019,2658,76,31,10,8.85,1.19,1.15,70,3,4.88,-1.88,13.73,5.78,5.30
Julian Gressel,ATL,2019,2898,69,25,6,5.60,0.15,0.40,68,11,8.05,2.95,13.65,3.40,3.60
Pedro Santos,CLB,2019,3034,75,21,11,5.90,-0.42,5.10,64,5,7.17,-2.17,13.07,7.84,4.28
Héber,NYC,2019,1725,56,26,15,10.20,0.06,4.80,24,3,2.75,0.25,12.95,7.86,6.03
Dom Dwyer,ORL,2019,1779,66,26,7,10.37,-2.54,-3.37,8,3,2.34,0.66,12.71,3.38,6.83
Jozy Altidore,TOR,2019,1835,50,24,11,9.50,0.88,1.50,22,4,3.15,0.85,12.65,7.36,6.13
Danny Hoesen,SJE,2019,1690,59,25,5,9.36,-2.12,-4.36,24,3,3.23,-0.23,12.59,4.21,6.18
Brian Fernández,POR,2019,1570,69,30,11,9.94,1.41,1.06,21,1,2.47,-1.47,12.42,7.10,6.61
Jordan Morris,SEA,2019,2191,42,20,10,8.70,0.37,1.30,21,6,3.65,2.35,12.35,6.58,5.89
Uriel Antuna,LAG,2019,2591,49,18,6,8.12,-0.99,-2.12,31,3,4.23,-1.23,12.35,4.27,5.13
Valeri Qazaishvili,SJE,2019,2307,110,36,8,9.23,-0.42,-1.23,34,5,3.09,1.91,12.32,4.29,5.08
Cristian Penilla,NER,2019,1959,58,20,6,7.24,-1.40,-1.24,41,5,5.04,-0.04,12.29,3.98,4.75
Latif Blessing,LAFC,2019,2962,42,10,6,7.33,-2.05,-1.33,40,3,4.91,-1.91,12.25,2.38,3.93
Christian Ramirez,"LAFC, HOU",2019,1745,52,28,9,9.80,-1.68,-0.80,18,3,2.43,0.57,12.23,6.53,6.10
Jeremy Ebobisse,POR,2019,2539,52,21,11,9.94,-0.74,1.06,21,1,2.12,-1.12,12.05,6.12,6.96
